provider,bench_name,extracted_name,unit,bench_key,instance,avg,std,min,max
azure,sys-benchmark,memory: avg latency,ms,2047814825220939480,B2MS-2 - eu,0.08374180083482374,0.008196433441672462,0.06,0.10333333333333335
azure,sys-benchmark,memory: avg latency,ms,2047814825220939480,B4MS-1 - eu,0.1016202712348324,0.004923495606460554,0.08,0.11666666666666665
azure,sys-benchmark,fileio: avg latency,ms,2120460225368380839,A2-1 - eu,4.239193469785551,2.948738517579846,0.33,37.303333333333335
azure,sys-benchmark,fileio: avg latency,ms,2120460225368380839,A2-2 - eu,3.632504859086486,2.3418038322073067,0.33,10.896666666666667
azure,sys-benchmark,fileio: avg latency,ms,2120460225368380839,A4-1 - eu,3.689087771203144,2.408793022457931,0.33,11.003333333333332
azure,sys-benchmark,fileio: avg latency,ms,2120460225368380839,B2MS-1 - eu,0.34295522388059907,0.024515019886615398,0.33,0.5866666666666668
azure,sys-benchmark,fileio: avg latency,ms,2120460225368380839,B2MS-2 - eu,0.34224209898628655,0.021603893642504982,0.33,0.52
azure,sys-benchmark,fileio: avg latency,ms,2120460225368380839,B4MS-1 - eu,0.34212705210563965,0.022270844153883335,0.33,0.49333333333333335
azure,sys-benchmark,cpu: events per second,events/s,2517539083521921225,A2-1 - eu,6644.712295321641,321.0801654657061,5872.853333333333,7986.983333333334
azure,sys-benchmark,cpu: events per second,events/s,2517539083521921225,A2-2 - eu,13397.18474246841,601.7084347008886,11622.646666666667,15909.836666666664
azure,sys-benchmark,cpu: events per second,events/s,2517539083521921225,A4-1 - eu,13343.096646942797,566.1467147209862,12110.006666666666,15360.003333333332
azure,sys-benchmark,cpu: events per second,events/s,2517539083521921225,B2MS-1 - eu,15702.50244278606,775.0163331491482,11305.230000000001,19934.576666666668
azure,sys-benchmark,cpu: events per second,events/s,2517539083521921225,B2MS-2 - eu,15734.50071854502,905.025595277709,13760.796666666667,21692.673333333336
azure,sys-benchmark,cpu: events per second,events/s,2517539083521921225,B4MS-1 - eu,31178.375296216986,1336.2467848799593,28568.49,39480.763333333336
azure,sys-benchmark,memory: speed,MiB/s,3259939626861916371,A2-1 - eu,10536.865947855757,751.3720033415796,8393.11,12764.663333333336
azure,sys-benchmark,memory: speed,MiB/s,3259939626861916371,A2-2 - eu,19829.72125607385,1796.96706109254,15003.003333333332,23358.063333333335
azure,sys-benchmark,memory: speed,MiB/s,3259939626861916371,A4-1 - eu,19831.1891765286,1727.7107402031163,15125.793333333333,22372.429999999997
azure,sys-benchmark,memory: speed,MiB/s,3259939626861916371,B2MS-1 - eu,23442.08370149252,2074.895091080709,18755.88333333333,31291.069999999996
azure,sys-benchmark,memory: speed,MiB/s,3259939626861916371,B2MS-2 - eu,23610.35640727489,2148.5046766782375,19086.746666666662,33977.29666666667
